,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,pensais,thought
4,aide,help
5,genre,kind
6,frère,brother
7,laisser,let
8,car,because
9,mettre,to put
10,aucun,no
11,laisse,leash
12,ville,city
13,chaque,each
14,parlé,speak
15,bébé,baby
16,longtemps,long time
17,heures,hours
18,vont,will
19,pendant,while
20,revoir,meet again
21,aucune,any
22,compris,understood
23,savais,knew
24,étaient,were
25,attention,Warning
26,voici,here is
27,pourrais,could
28,donner,give
29,type,type
30,leurs,their
31,train,train
32,corps,body
33,endroit,place
34,façon,way
35,écoute,listen
36,trouve,find
37,premier,first
38,main,hand
39,première,first
40,côté,side
41,pouvoir,power
42,vieux,old
43,sois,be
44,tiens,here
45,matin,morning
46,tellement,so much
47,enfant,child
48,point,point
49,venu,came
50,pardon,sorry
51,venez,come
52,vers,towards
53,minutes,minutes
54,demandé,request
55,chambre,bedroom
56,mis,placed
57,belle,beautiful
58,droit,law
59,aimerais,would like to
60,mari,husband
61,cause,cause
62,enfin,finally
63,espère,hope
64,eau,water
65,attendez,Wait
66,parti,left
67,nouvelle,new
68,boulot,job
69,dirait,would say
70,compte,account
71,donne,given
72,fin,end
73,croire,believe
74,gros,large
75,plutôt,rather
76,aura,will have
77,jouer,to play
78,bureau,office
